"CODICE_PAESE_TERRITORIO","DENOMINAZIONE","CODIFICA_ISTAT","BLACK_LIST"
"51","PANAMA","530","S"
"186","PAPUA NUOVA GUINEA","721","N"
"52","PARAGUAY","614","N"
"232","PENON DE ALHUCEMAS","NULL","N"
"233","PENON DE VELEZ DE LA GOMERA","NULL","N"
"53","PERU","615","N"
"175","PITCAIRN","723","N"
"225","POLINESIA FRANCESE","724","S"
"54","POLONIA","233","N"
"55","PORTOGALLO","234","N"
"220","PORTORICO","NULL","S"
"91","PRINCIPATO DI MONACO","229","S"
"168","QATAR","345","N"
"242","RAS EL KAIMAH","NULL","N"
"31","REGNO UNITO","219","N"
"247","REUNION","445","N"
"61","ROMANIA","235","N"
"151","RUANDA","446","N"
"262","RUSSIA (FEDERAZIONE DI)","245","N"
"166","SAHARA OCCIDENTALE","NULL","N"
"195","SAINT KITTS E NEVIS","534","S"
"199","SAINT LUCIA","532","S"
"222","SAINT MARTIN SETTENTRIONALE","NULL","N"
"248","SAINT-PIERRE E MIQUELON","535","N"
"191","SALOMONE ISOLE","725","S"
"64","SALVADOR","NULL","N"
"131","SAMOA","727","S"
"293","SAINT BARTHELEMY","NULL","N"
"37","SAN MARINO","236","S"
"187","SAO TOME E PRINCIPE","448","N"
"152","SENEGAL","450","N"
"189","SEYCHELLES","449","S"
"289","SERBIA","271","N"
"243","SHARJAH","NULL","N"
"153","SIERRA LEONE","451","N"
"147","SINGAPORE","346","S"
"294","SINT MARTEEN","NULL","N"
"65","SIRIA","348","N"
"276","SLOVACCA REPUBBLICA","255","N"
"260","SLOVENIA","251","N"
"66","SOMALIA","453","N"
"283","SOUTH GEORGIA AND SOUTH SANDWICH","NULL","N"
"67","SPAGNA","239","N"
"85","SRI LANKA","311","N"
"254","ST. HELENA","447","S"
"196","ST. VINCENTE E LE GRENADINE","533","S"
"69","STATI UNITI D'AMERICA","536","N"
"297","SUD SUDAN","467","N"
"78","SUDAFRICANA REPUBBLICA","454","N"
"70","SUDAN","455","N"
"124","SURINAM","616","N"
"286","SVALBARD AND JAN MAYEN ISLANDS","NULL","N"
"68","SVEZIA","240","N"
"71","SVIZZERA","241","S"
"138","SWAZILAND","456","N"
"272","TAGIKISTAN","362","N"
"22","TAIWAN","363","S"
"57","TANZANIA","457","N"
"183","TERRITORI FRANCESI DEL SUD","NULL","N"
"245","TERRITORIO BRIT. OCEANO INDIANO","308","N"
"72","THAILANDIA","349","N"
"287","TIMOR EST","350","N"
"155","TOGO","458","N"
"236","TOKELAU","729","N"
"162","TONGA","730","S"
"120","TRINIDAD E TOBAGO","617","N"
"229","TRISTAN DA CUNHA","NULL","N"
"75","TUNISIA","460","N"
"76","TURCHIA","351","N"
"273","TURKMENISTAN","364","N"
"210","TURKS E CAICOS (ISOLE)","537","S"
"193","TUVALU","731","S"
"263","UCRAINA","243","N"
"132","UGANDA","461","N"
"244","UMM AL QAIWAIN","NULL","N"
"77","UNGHERIA","244","N"
"80","URUGUAY","618","S"
"271","UZBEKISTAN","357","N"
"121","VANUATU","732","S"
"81","VENEZUELA","619","N"
"221","VERGINI AMERICANE (ISOLE)","538","S"
"249","VERGINI BRITANNICHE (ISOLE)","539","S"
"62","VIETNAM","353","N"
"178","WAKE ISOLE","733","N"
"218","WALLIS E FUTUNA","734","N"
"42","YEMEN","354","N"
"58","ZAMBIA","464","N"
"73","ZIMBABWE","465","N"
"794","ALDERNEY C.I.","NULL","S"
"251","ANTILLE OLANDESI","NULL","S"
"795","BARBUDA","NULL","S"
"796","EMIRATI ARABI UNITI","NULL","S"
"797","HERM C.I.","NULL","S"
"799","PAESI NON CLASSIFICATI","NULL","N"
"250","PANAMA - ZONA DEL CANALE","NULL","N"
"798","SARK C.I.","NULL","S"
"288","SERBIA E MONTENEGRO","NULL","N"
