"OBJECT_NAME";"OBJECT_TYPE"
"AD4_CCS";"PACKAGE BODY"
"AD4_EVENTO";"PACKAGE BODY"
"AD4WEB";"PACKAGE BODY"
"AD4WEB_PKG";"PACKAGE BODY"
"AFC";"PACKAGE BODY"
"AFC_BFILE";"PACKAGE BODY"
"AFC_DDL";"PACKAGE BODY"
"AFC_DML";"PACKAGE BODY"
"AFC_ERROR";"PACKAGE BODY"
"AFC_HTML";"PACKAGE BODY"
"AFC_LOB";"PACKAGE BODY"
"AMV_AREA";"PACKAGE BODY"
"AMV_DOCUMENTO";"PACKAGE BODY"
"AMV_MENU";"PACKAGE BODY"
"AMV_MENU_PAC";"PACKAGE BODY"
"AMV_REVISIONE";"PACKAGE BODY"
"AMV_SEZIONE";"PACKAGE BODY"
"AMV_UTENTE";"PACKAGE BODY"
"AMVWEB";"PACKAGE BODY"
"ASL_CCS";"PACKAGE BODY"
"ASSISTENTE_VIRTUALE_PKG";"PACKAGE BODY"
"ASSISTENTE_VIRTUALE_PKG_ORIG";"PACKAGE BODY"
"BANCHE_TPK";"PACKAGE BODY"
"CARATTERISTICA_ACCESSO";"PACKAGE BODY"
"CARATTERISTICHE_ACCESSO_TPK";"PACKAGE BODY"
"CODICE_FISCALE";"PACKAGE BODY"
"COMUNE";"PACKAGE BODY"
"COMUNI_TOTALI_TPK";"PACKAGE BODY"
"COMUNI_TPK";"PACKAGE BODY"
"CRYPT";"PACKAGE BODY"
"CRYPT_ORIG";"PACKAGE BODY"
"DBC";"PACKAGE BODY"
"DBMS_XMLQUERY";"PACKAGE BODY"
"DBMS_XMLSAVE";"PACKAGE BODY"
"DB_UTILITY";"PACKAGE BODY"
"DBUTILS";"PACKAGE BODY"
"DIRITTI_ACCESSO_TPK";"PACKAGE BODY"
"DIRITTO_ACCESSO";"PACKAGE BODY"
"EXTERNAL_FUNCTIONS_PKG";"PACKAGE BODY"
"EXTERNAL_FUNCTIONS_TPK";"PACKAGE BODY"
"FINMATICA_LDAP";"PACKAGE BODY"
"GESTIONE_DATI_LOCALI";"PACKAGE BODY"
"GLOBAL_UTILITY";"PACKAGE BODY"
"GRUPPO";"PACKAGE BODY"
"GV_$SESSION_MASTER_PKG";"PACKAGE BODY"
"GV_$SESSION_PKG";"PACKAGE BODY"
"INCARICHI_TPK";"PACKAGE BODY"
"INFORMATIVE_PRIVACY_PKG";"PACKAGE BODY"
"INFORMATIVE_PRIVACY_TPK";"PACKAGE BODY"
"INTEGRAZIONI";"PACKAGE BODY"
"INTEGRITYPACKAGE";"PACKAGE BODY"
"ISTANZA";"PACKAGE BODY"
"ISTANZA_AMM_PKG";"PACKAGE BODY"
"ISTANZE_TPK";"PACKAGE BODY"
"JFCUTILS";"PACKAGE BODY"
"JOB_UTILITY";"PACKAGE BODY"
"KEY_ERROR_LOG_PKG";"PACKAGE BODY"
"KEY_ERROR_LOG_TPK";"PACKAGE BODY"
"KEYPACKAGE";"PACKAGE BODY"
"LDAP_TO_DB";"PACKAGE BODY"
